file,class,method,variable,usage
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-connectors\mantis-connector-job\src\main\java\io\mantisrx\connector\job\core\DefaultSinkConnectionStatusObserver.java,io.mantisrx.connector.job.core.DefaultSinkConnectionStatusObserver,onNext/1[io.mantisrx.client.SinkConnectionsStatus],total,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-connectors\mantis-connector-job\src\main\java\io\mantisrx\connector\job\core\DefaultSinkConnectionStatusObserver.java,io.mantisrx.connector.job.core.DefaultSinkConnectionStatusObserver,onNext/1[io.mantisrx.client.SinkConnectionsStatus],numConnected,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-connectors\mantis-connector-job\src\main\java\io\mantisrx\connector\job\core\DefaultSinkConnectionStatusObserver.java,io.mantisrx.connector.job.core.DefaultSinkConnectionStatusObserver,onNext/1[io.mantisrx.client.SinkConnectionsStatus],LOGGER,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-connectors\mantis-connector-job\src\main\java\io\mantisrx\connector\job\core\DefaultSinkConnectionStatusObserver.java,io.mantisrx.connector.job.core.DefaultSinkConnectionStatusObserver,onNext/1[io.mantisrx.client.SinkConnectionsStatus],receivingData,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-connectors\mantis-connector-job\src\main\java\io\mantisrx\connector\job\core\DefaultSinkConnectionStatusObserver.java,io.mantisrx.connector.job.core.DefaultSinkConnectionStatusObserver,getTotalServerCount/0,total,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-connectors\mantis-connector-job\src\main\java\io\mantisrx\connector\job\core\DefaultSinkConnectionStatusObserver.java,io.mantisrx.connector.job.core.DefaultSinkConnectionStatusObserver,getReceivingDataCount/0,receivingData,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-connectors\mantis-connector-job\src\main\java\io\mantisrx\connector\job\core\DefaultSinkConnectionStatusObserver.java,io.mantisrx.connector.job.core.DefaultSinkConnectionStatusObserver,onCompleted/0,LOGGER,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-connectors\mantis-connector-job\src\main\java\io\mantisrx\connector\job\core\DefaultSinkConnectionStatusObserver.java,io.mantisrx.connector.job.core.DefaultSinkConnectionStatusObserver,isConnectedToAllSinks/0,total,4
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-connectors\mantis-connector-job\src\main\java\io\mantisrx\connector\job\core\DefaultSinkConnectionStatusObserver.java,io.mantisrx.connector.job.core.DefaultSinkConnectionStatusObserver,isConnectedToAllSinks/0,numConnected,3
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-connectors\mantis-connector-job\src\main\java\io\mantisrx\connector\job\core\DefaultSinkConnectionStatusObserver.java,io.mantisrx.connector.job.core.DefaultSinkConnectionStatusObserver,isConnectedToAllSinks/0,LOGGER,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-connectors\mantis-connector-job\src\main\java\io\mantisrx\connector\job\core\DefaultSinkConnectionStatusObserver.java,io.mantisrx.connector.job.core.DefaultSinkConnectionStatusObserver,isConnectedToAllSinks/0,receivingData,3
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-runtime\src\main\java\io\mantisrx\runtime\source\http\ContextualHttpSource.java,io.mantisrx.runtime.source.http.ContextualHttpSource$Builder,"Builder/1[io.mantisrx.runtime.source.http.impl.HttpSourceImpl.Builder<io.mantisrx.runtime.source.http.ByteBuf,E,io.mantisrx.runtime.source.http.impl.ServerContext<E>>]",builderImpl,3
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-runtime\src\main\java\io\mantisrx\runtime\source\http\ContextualHttpSource.java,io.mantisrx.runtime.source.http.ContextualHttpSource$Builder,withActivityObserver/1[io.mantisrx.runtime.source.http.Observer<io.mantisrx.runtime.source.http.impl.HttpSourceImpl.HttpSourceEvent>],builderImpl,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-runtime\src\main\java\io\mantisrx\runtime\source\http\ContextualHttpSource.java,io.mantisrx.runtime.source.http.ContextualHttpSource$Builder,withServerProvider/1[io.mantisrx.runtime.source.http.HttpServerProvider],builderImpl,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-runtime\src\main\java\io\mantisrx\runtime\source\http\ContextualHttpSource.java,io.mantisrx.runtime.source.http.ContextualHttpSource$Builder,build/0,builderImpl,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-runtime\src\main\java\io\mantisrx\runtime\source\http\ContextualHttpSource.java,io.mantisrx.runtime.source.http.ContextualHttpSource$Builder,"resumeWith/1[io.mantisrx.runtime.source.http.ClientResumePolicy<io.mantisrx.runtime.source.http.ByteBuf,E>]",builderImpl,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-runtime\src\main\java\io\mantisrx\runtime\executor\StageExecutors.java,io.mantisrx.runtime.executor.StageExecutors,"setupKeyToKeyStage/3[io.mantisrx.runtime.KeyToKey<K1,T,K2,R>,io.mantisrx.runtime.executor.Observable<io.mantisrx.runtime.executor.Observable<io.mantisrx.runtime.executor.GroupedObservable<K1,T>>>,io.mantisrx.runtime.executor.Context]",logger,1
E:\Desktop\Courses\OOP\March 2024\Week 2\mantis-master\mantis-runtime\src\main\java\io\mantisrx\runtime\executor\StageExecutors.java,io.mantisrx.runtime.executor.StageExecutors,"setupGroupToGroupStage/3[io.mantisrx.runtime.GroupToGroup<K1,T,K2,R>,io.mantisrx.runtime.executor.Observable<io.mantisrx.runtime.executor.Observable<io.mantisrx.runtime.executor.MantisGroup<K1,T>>>,io.mantisrx.runtime.executor.Context]",logger,1
